Reporter Name,Partner Name,Product Group,2007
Aruba,Netherlands Antilles,Plastic or Rubber,99.046
Aruba,Antigua and Barbuda,Plastic or Rubber,0.354
Aruba,Colombia,Plastic or Rubber,1.2009999999999998
Aruba,Costa Rica,Plastic or Rubber,0.322
Aruba,Haiti,Plastic or Rubber,0.006
Aruba,Jamaica,Plastic or Rubber,44.465
Aruba,St. Kitts and Nevis,Plastic or Rubber,0.226
Aruba,Netherlands,Plastic or Rubber,1.21
Aruba,Panama,Plastic or Rubber,23.803
Aruba,Unspecified,Plastic or Rubber,2.968
Aruba,United States,Plastic or Rubber,129.73000000000002
Aruba,Venezuela,Plastic or Rubber,20.564
Aruba, World,Plastic or Rubber,323.894
Anguila,Netherlands Antilles,Plastic or Rubber,2.17
Anguila,St. Kitts and Nevis,Plastic or Rubber,0.408
Anguila,Panama,Plastic or Rubber,0.525
Anguila,United States,Plastic or Rubber,38.202
Anguila,St. Vincent and the Grenadines,Plastic or Rubber,0.03
Anguila, World,Plastic or Rubber,41.335
Albania,United Arab Emirates,Plastic or Rubber,0.308
Albania,Austria,Plastic or Rubber,8.221
Albania,Bulgaria,Plastic or Rubber,72.297
Albania,Switzerland,Plastic or Rubber,13.114
Albania,China,Plastic or Rubber,2.544
Albania,Germany,Plastic or Rubber,22.625999999999998
Albania,United Kingdom,Plastic or Rubber,2.494
Albania,Greece,Plastic or Rubber,1099.246
Albania,"Hong Kong, China",Plastic or Rubber,9.818
Albania,Croatia,Plastic or Rubber,5.48
Albania,Italy,Plastic or Rubber,2875.845
Albania,"Macedonia, FYR",Plastic or Rubber,153.812
Albania,"Serbia, FR(Serbia/Montenegro)",Plastic or Rubber,870.1129999999998
Albania,Slovenia,Plastic or Rubber,3.2910000000000004
Albania,Turkey,Plastic or Rubber,398.082
Albania, World,Plastic or Rubber,5595.567999999998
Andorra,Belgium,Plastic or Rubber,53.46100000000001
Andorra,China,Plastic or Rubber,0.001
Andorra,Spain,Plastic or Rubber,869.555
Andorra,Finland,Plastic or Rubber,12.334000000000001
Andorra,France,Plastic or Rubber,37.866
Andorra,United Kingdom,Plastic or Rubber,7.337000000000001
Andorra,Guatemala,Plastic or Rubber,10.955
Andorra,Israel,Plastic or Rubber,0.124
Andorra,Italy,Plastic or Rubber,6.212999999999999
Andorra,Morocco,Plastic or Rubber,0.258
Andorra,Netherlands,Plastic or Rubber,18.602999999999998
Andorra,Norway,Plastic or Rubber,3.0839999999999996
Andorra,Poland,Plastic or Rubber,0.08800000000000001
Andorra,Russian Federation,Plastic or Rubber,0.439
Andorra,Slovak Republic,Plastic or Rubber,5.615
Andorra,Sweden,Plastic or Rubber,0.9359999999999999
Andorra, World,Plastic or Rubber,1026.9499999999996
Netherlands Antilles,Aruba,Plastic or Rubber,291.857
Netherlands Antilles,Barbados,Plastic or Rubber,0.431
Netherlands Antilles,Costa Rica,Plastic or Rubber,3.594
Netherlands Antilles,Cuba,Plastic or Rubber,0.278
Netherlands Antilles,Dominican Republic,Plastic or Rubber,0.055999999999999994
Netherlands Antilles,"Hong Kong, China",Plastic or Rubber,12.831
Netherlands Antilles,Haiti,Plastic or Rubber,0.027999999999999997
Netherlands Antilles,Namibia,Plastic or Rubber,0.38799999999999996
Netherlands Antilles,Netherlands,Plastic or Rubber,21.343000000000004
Netherlands Antilles,Panama,Plastic or Rubber,3.298
Netherlands Antilles,El Salvador,Plastic or Rubber,0.513
Netherlands Antilles,Suriname,Plastic or Rubber,1.6769999999999998
Netherlands Antilles,Unspecified,Plastic or Rubber,117.509
Netherlands Antilles,Uruguay,Plastic or Rubber,17.285
Netherlands Antilles,United States,Plastic or Rubber,37.752
Netherlands Antilles,Venezuela,Plastic or Rubber,6.709
Netherlands Antilles, World,Plastic or Rubber,515.549
United Arab Emirates,Afghanistan,Plastic or Rubber,7866.827999999998
United Arab Emirates,Angola,Plastic or Rubber,14027.731000000002
United Arab Emirates,Anguila,Plastic or Rubber,50.174
United Arab Emirates,Albania,Plastic or Rubber,20.795
United Arab Emirates,Andorra,Plastic or Rubber,39.225
United Arab Emirates,Netherlands Antilles,Plastic or Rubber,0.136
United Arab Emirates,Argentina,Plastic or Rubber,608.87
United Arab Emirates,Armenia,Plastic or Rubber,6616.944
United Arab Emirates,Australia,Plastic or Rubber,36912.849
United Arab Emirates,Austria,Plastic or Rubber,817.658
United Arab Emirates,Azerbaijan,Plastic or Rubber,3971.4109999999996
United Arab Emirates,Burundi,Plastic or Rubber,62.432
United Arab Emirates,Belgium,Plastic or Rubber,14420.003999999999
United Arab Emirates,Benin,Plastic or Rubber,6169.893
United Arab Emirates,Burkina Faso,Plastic or Rubber,76.752
United Arab Emirates,Bangladesh,Plastic or Rubber,2109.842
United Arab Emirates,Bulgaria,Plastic or Rubber,2815.5429999999997
United Arab Emirates,Bahrain,Plastic or Rubber,10234.251
United Arab Emirates,"Bahamas, The",Plastic or Rubber,20.422
United Arab Emirates,Bosnia and Herzegovina,Plastic or Rubber,6.587999999999999
United Arab Emirates,Brazil,Plastic or Rubber,540.607
United Arab Emirates,Brunei,Plastic or Rubber,63.5
United Arab Emirates,Botswana,Plastic or Rubber,210.49099999999999
United Arab Emirates,Central African Republic,Plastic or Rubber,1.35
United Arab Emirates,Canada,Plastic or Rubber,945.9989999999999
United Arab Emirates,Switzerland,Plastic or Rubber,269.173
United Arab Emirates,Chile,Plastic or Rubber,378.908
United Arab Emirates,China,Plastic or Rubber,168537.641
United Arab Emirates,Cote d'Ivoire,Plastic or Rubber,1771.721
United Arab Emirates,Cameroon,Plastic or Rubber,7211.058000000001
United Arab Emirates,"Congo, Rep.",Plastic or Rubber,6097.682000000002
United Arab Emirates,Colombia,Plastic or Rubber,103.219
United Arab Emirates,Comoros,Plastic or Rubber,3521.242
United Arab Emirates,Cuba,Plastic or Rubber,19.648000000000003
