Reporter Name,Partner Name,Product Group,1992
United Arab Emirates,Afghanistan,Fuels,21.473000000000003
United Arab Emirates,Australia,Fuels,116.98200000000001
United Arab Emirates,Australia,Plastic or Rubber,28.605999999999998
United Arab Emirates,Bangladesh,Chemicals,3.678
United Arab Emirates,Bangladesh,Minerals,51.858000000000004
United Arab Emirates,Bahrain,Chemicals,1309.229
United Arab Emirates,Bahrain,Food Products,702.5459999999998
United Arab Emirates,Bahrain,Fuels,6723.8369999999995
United Arab Emirates,Bahrain,Mach and Elec,36.316
United Arab Emirates,Bahrain,Minerals,326.509
United Arab Emirates,Bahrain,Plastic or Rubber,299.85400000000004
United Arab Emirates,Bahrain,Textiles and Clothing,11.767000000000001
United Arab Emirates,Bahrain,Wood,639.936
United Arab Emirates,Belgium-Luxembourg,Plastic or Rubber,1.0070000000000001
United Arab Emirates,Belgium-Luxembourg,Textiles and Clothing,23.935
United Arab Emirates,Comoros,Minerals,48.388000000000005
United Arab Emirates,Germany,Animal,494.13300000000004
United Arab Emirates,Germany,Chemicals,11.386
United Arab Emirates,Germany,Food Products,5.975
United Arab Emirates,Germany,Plastic or Rubber,14.262
United Arab Emirates,Germany,Textiles and Clothing,8.408
United Arab Emirates,Djibouti,Fuels,85.219
United Arab Emirates,Djibouti,Minerals,2.677
United Arab Emirates,Djibouti,Plastic or Rubber,20.429000000000002
United Arab Emirates,Denmark,Animal,465.80300000000005
United Arab Emirates,"Egypt, Arab Rep.",Chemicals,48.417
United Arab Emirates,"Egypt, Arab Rep.",Food Products,3.1319999999999997
United Arab Emirates,"Egypt, Arab Rep.",Fuels,707.492
United Arab Emirates,"Egypt, Arab Rep.",Wood,1.906
United Arab Emirates,Ethiopia(includes Eritrea),Plastic or Rubber,2.9360000000000004
United Arab Emirates,Ethiopia(includes Eritrea),Wood,0.599
United Arab Emirates,France,Animal,305.884
United Arab Emirates,France,Mach and Elec,14.755
United Arab Emirates,United Kingdom,Chemicals,143.982
United Arab Emirates,United Kingdom,Mach and Elec,39.147
United Arab Emirates,United Kingdom,Minerals,45.625
United Arab Emirates,United Kingdom,Plastic or Rubber,18.365
United Arab Emirates,United Kingdom,Wood,1.054
United Arab Emirates,Guinea,Plastic or Rubber,4.02
United Arab Emirates,"Hong Kong, China",Chemicals,401.44699999999995
United Arab Emirates,"Hong Kong, China",Fuels,793.8639999999999
United Arab Emirates,"Hong Kong, China",Plastic or Rubber,6.28
United Arab Emirates,Indonesia,Chemicals,11.304
United Arab Emirates,India,Chemicals,5.415
United Arab Emirates,India,Fuels,51.218
United Arab Emirates,India,Minerals,198.84599999999998
