Reporter Name,Partner Name,Product Group,1994
Argentina,Netherlands Antilles,Plastic or Rubber,0.696
Argentina,United Arab Emirates,Plastic or Rubber,68.476
Argentina,Australia,Plastic or Rubber,713.1410000000002
Argentina,Austria,Plastic or Rubber,58.33
Argentina,Belgium-Luxembourg,Plastic or Rubber,1018.456
Argentina,Bermuda,Plastic or Rubber,0.847
Argentina,Bolivia,Plastic or Rubber,6573.3139999999985
Argentina,Brazil,Plastic or Rubber,106913.664
Argentina,Barbados,Plastic or Rubber,33.867
Argentina,Canada,Plastic or Rubber,19.564
Argentina,Chile,Plastic or Rubber,38725.669
Argentina,China,Plastic or Rubber,2581.2729999999997
Argentina,Cote d'Ivoire,Plastic or Rubber,13.25
Argentina,Colombia,Plastic or Rubber,1511.83
Argentina,Costa Rica,Plastic or Rubber,388.545
Argentina,Cuba,Plastic or Rubber,57.56700000000001
Argentina,Cyprus,Plastic or Rubber,0.537
Argentina,Germany,Plastic or Rubber,573.565
Argentina,Dominican Republic,Plastic or Rubber,33.646
Argentina,Algeria,Plastic or Rubber,1.33
Argentina,Ecuador,Plastic or Rubber,1405.7420000000004
Argentina,"Egypt, Arab Rep.",Plastic or Rubber,2.05
Argentina,Spain,Plastic or Rubber,483.226
Argentina,France,Plastic or Rubber,1492.3370000000002
Argentina,United Kingdom,Plastic or Rubber,1087.802
Argentina,Grenada,Plastic or Rubber,0.992
Argentina,Guatemala,Plastic or Rubber,91.676
Argentina,Guyana,Plastic or Rubber,0.6
Argentina,"Hong Kong, China",Plastic or Rubber,9831.4
Argentina,Honduras,Plastic or Rubber,9.425
Argentina,Indonesia,Plastic or Rubber,679.403
Argentina,India,Plastic or Rubber,45.22
Argentina,Ireland,Plastic or Rubber,10.25
Argentina,Israel,Plastic or Rubber,2112.276
Argentina,Italy,Plastic or Rubber,863.1949999999998
Argentina,Jamaica,Plastic or Rubber,227.638
Argentina,Japan,Plastic or Rubber,14.119000000000002
Argentina,Kenya,Plastic or Rubber,17.309
Argentina,"Korea, Rep.",Plastic or Rubber,123.774
Argentina,Kuwait,Plastic or Rubber,3.912
Argentina,Libya,Plastic or Rubber,2.596
Argentina,Sri Lanka,Plastic or Rubber,2.653
Argentina,Lithuania,Plastic or Rubber,37.117
Argentina,Morocco,Plastic or Rubber,1.199
Argentina,Mexico,Plastic or Rubber,1566.096
