Reporter Name,Partner Name,Product Group,2004
Aruba,Netherlands Antilles,Mach and Elec,434.542
Aruba,Belgium,Mach and Elec,1.207
Aruba,Canada,Mach and Elec,59.32899999999999
Aruba,Colombia,Mach and Elec,51.402
Aruba,Costa Rica,Mach and Elec,0.531
Aruba,Cayman Islands,Mach and Elec,0.017
Aruba,Germany,Mach and Elec,32.201
Aruba,Denmark,Mach and Elec,1.2009999999999998
Aruba,Dominican Republic,Mach and Elec,0.916
Aruba,Spain,Mach and Elec,0.9159999999999999
Aruba,France,Mach and Elec,10.81
Aruba,United Kingdom,Mach and Elec,88.212
Aruba,St. Kitts and Nevis,Mach and Elec,0.022000000000000002
Aruba,Netherlands,Mach and Elec,70.279
Aruba,Panama,Mach and Elec,14.598
Aruba,Peru,Mach and Elec,0.111
Aruba,Suriname,Mach and Elec,25.546999999999997
Aruba,Sweden,Mach and Elec,17.737000000000002
Aruba,Turkey,Mach and Elec,8.056000000000001
Aruba,Unspecified,Mach and Elec,30.933000000000003
Aruba,United States,Mach and Elec,1918.4520000000002
Aruba,Venezuela,Mach and Elec,183.05
Aruba, World,Mach and Elec,2950.073000000001
Anguila,Netherlands Antilles,Mach and Elec,351.31699999999995
Anguila,Antigua and Barbuda,Mach and Elec,0.7659999999999999
Anguila,Barbados,Mach and Elec,4.504
Anguila,Canada,Mach and Elec,8.896
Anguila,China,Mach and Elec,4.17
Anguila,Cayman Islands,Mach and Elec,11.110999999999999
Anguila,France,Mach and Elec,55.588
Anguila,United Kingdom,Mach and Elec,18.791
Anguila,Guatemala,Mach and Elec,15.475999999999999
Anguila,Japan,Mach and Elec,48.2
Anguila,St. Kitts and Nevis,Mach and Elec,80.14599999999999
Anguila,"Korea, Rep.",Mach and Elec,22.621
Anguila,St. Lucia,Mach and Elec,279.41900000000004
Anguila,United States,Mach and Elec,378.774
Anguila,St. Vincent and the Grenadines,Mach and Elec,12.307
Anguila,British Virgin Islands,Mach and Elec,11.329
Anguila, World,Mach and Elec,1303.4160000000004
Albania,Austria,Mach and Elec,501.25699999999995
Albania,Bulgaria,Mach and Elec,250.132
Albania,Brazil,Mach and Elec,3.6889999999999996
Albania,Switzerland,Mach and Elec,0.8590000000000001
Albania,China,Mach and Elec,90.48899999999999
Albania,Czech Republic,Mach and Elec,41.87300000000001
Albania,Germany,Mach and Elec,71.48400000000002
Albania,Spain,Mach and Elec,0.36700000000000005
Albania,France,Mach and Elec,35.196999999999996
Albania,United Kingdom,Mach and Elec,58.627
Albania,Greece,Mach and Elec,1828.683
Albania,"Hong Kong, China",Mach and Elec,4.019
Albania,Croatia,Mach and Elec,0.054000000000000006
Albania,Hungary,Mach and Elec,3.458
Albania,Ireland,Mach and Elec,15.251
Albania,"Iran, Islamic Rep.",Mach and Elec,8.123
Albania,Israel,Mach and Elec,0.049
Albania,Italy,Mach and Elec,10090.19
Albania,Kuwait,Mach and Elec,56.018
Albania,Mexico,Mach and Elec,0.402
Albania,"Macedonia, FYR",Mach and Elec,3728.364
Albania,Malta,Mach and Elec,1712.629
Albania,Myanmar,Mach and Elec,9.891
Albania,Netherlands,Mach and Elec,99.567
Albania,Norway,Mach and Elec,5.324
Albania,Romania,Mach and Elec,71.946
Albania,Russian Federation,Mach and Elec,0.023
Albania,Saudi Arabia,Mach and Elec,1.85
Albania,"Serbia, FR(Serbia/Montenegro)",Mach and Elec,2470.948
Albania,Singapore,Mach and Elec,25.671
Albania,Slovenia,Mach and Elec,13.587
Albania,Sweden,Mach and Elec,0.36700000000000005
Albania,Syrian Arab Republic,Mach and Elec,6.377000000000001
Albania,Turkey,Mach and Elec,13.370999999999999
Albania,Ukraine,Mach and Elec,2.563
Albania,United States,Mach and Elec,11.077
Albania, World,Mach and Elec,21233.775
Andorra,United Arab Emirates,Mach and Elec,0.7490000000000001
Andorra,Argentina,Mach and Elec,0.125
Andorra,Armenia,Mach and Elec,17.414
Andorra,Belgium,Mach and Elec,10.605
Andorra,Bulgaria,Mach and Elec,19.674
Andorra,Switzerland,Mach and Elec,102.272
Andorra,Costa Rica,Mach and Elec,5.596
Andorra,Germany,Mach and Elec,17813.319
Andorra,Denmark,Mach and Elec,8.522
Andorra,Algeria,Mach and Elec,5.587999999999999
Andorra,Ecuador,Mach and Elec,26.287
Andorra,Spain,Mach and Elec,7470.316999999999
Andorra,Finland,Mach and Elec,58.982
Andorra,France,Mach and Elec,7966.539000000001
Andorra,United Kingdom,Mach and Elec,104.63799999999999
Andorra,Georgia,Mach and Elec,4.495
Andorra,Greece,Mach and Elec,399.462
Andorra,Guatemala,Mach and Elec,15.4
Andorra,Croatia,Mach and Elec,1.665
Andorra,India,Mach and Elec,9.899
Andorra,Ireland,Mach and Elec,0.031
Andorra,Iceland,Mach and Elec,2.123
Andorra,Israel,Mach and Elec,0.091
Andorra,Italy,Mach and Elec,5.667000000000001
Andorra,Kenya,Mach and Elec,0.037000000000000005
Andorra,Lebanon,Mach and Elec,37.623000000000005
Andorra,Sri Lanka,Mach and Elec,9.167
Andorra,Latvia,Mach and Elec,98.956
Andorra,Morocco,Mach and Elec,0.469
Andorra,Netherlands,Mach and Elec,247.18900000000002
Andorra,Norway,Mach and Elec,884.926
Andorra,Poland,Mach and Elec,2.307
Andorra,Portugal,Mach and Elec,78.612
Andorra,Russian Federation,Mach and Elec,296.498
Andorra,"Serbia, FR(Serbia/Montenegro)",Mach and Elec,58.964
Andorra,Slovak Republic,Mach and Elec,18.109
Andorra,Sweden,Mach and Elec,508.05
Andorra,Uruguay,Mach and Elec,10.624
Andorra,United States,Mach and Elec,8.003
Andorra,Uzbekistan,Mach and Elec,4.6610000000000005
Andorra,Venezuela,Mach and Elec,6.227
Andorra, World,Mach and Elec,36319.879
United Arab Emirates,Aruba,Mach and Elec,168.672
United Arab Emirates,Afghanistan,Mach and Elec,39538.117
United Arab Emirates,Angola,Mach and Elec,11604.641000000001
United Arab Emirates,Albania,Mach and Elec,205.383
United Arab Emirates,Andorra,Mach and Elec,24.155
United Arab Emirates,Netherlands Antilles,Mach and Elec,121.051
United Arab Emirates,Argentina,Mach and Elec,79.958
United Arab Emirates,Armenia,Mach and Elec,15603.969
United Arab Emirates,Australia,Mach and Elec,4921.043
United Arab Emirates,Austria,Mach and Elec,3625.388
United Arab Emirates,Azerbaijan,Mach and Elec,85021.69
United Arab Emirates,Burundi,Mach and Elec,518.578
United Arab Emirates,Belgium,Mach and Elec,11707.303
United Arab Emirates,Benin,Mach and Elec,2298.271
United Arab Emirates,Burkina Faso,Mach and Elec,740.623
United Arab Emirates,Bangladesh,Mach and Elec,9026.771999999999
United Arab Emirates,Bulgaria,Mach and Elec,22339.375
United Arab Emirates,Bahrain,Mach and Elec,134822.43099999998
United Arab Emirates,"Bahamas, The",Mach and Elec,44.831
United Arab Emirates,Bosnia and Herzegovina,Mach and Elec,13.755
United Arab Emirates,Bolivia,Mach and Elec,2.4419999999999997
United Arab Emirates,Brazil,Mach and Elec,293.474
United Arab Emirates,Brunei,Mach and Elec,295.357
United Arab Emirates,Botswana,Mach and Elec,461.833
United Arab Emirates,Central African Republic,Mach and Elec,362.24
United Arab Emirates,Canada,Mach and Elec,2106.459
United Arab Emirates,Cocos (Keeling) Islands,Mach and Elec,6.25
United Arab Emirates,Switzerland,Mach and Elec,5676.739000000001
United Arab Emirates,Chile,Mach and Elec,400.69300000000004
United Arab Emirates,China,Mach and Elec,3461.258
United Arab Emirates,Cote d'Ivoire,Mach and Elec,7142.05
United Arab Emirates,Cameroon,Mach and Elec,19132.889000000006
United Arab Emirates,"Congo, Rep.",Mach and Elec,9954.014000000001
United Arab Emirates,Colombia,Mach and Elec,180.077
United Arab Emirates,Comoros,Mach and Elec,813.592
United Arab Emirates,Costa Rica,Mach and Elec,58.86600000000001
United Arab Emirates,Cuba,Mach and Elec,94.279
United Arab Emirates,Cayman Islands,Mach and Elec,4.25
United Arab Emirates,Cyprus,Mach and Elec,20433.309
United Arab Emirates,Czech Republic,Mach and Elec,1533.4150000000004
United Arab Emirates,Germany,Mach and Elec,109072.491
United Arab Emirates,Djibouti,Mach and Elec,23264.728
United Arab Emirates,Dominica,Mach and Elec,10.176
United Arab Emirates,Denmark,Mach and Elec,50101.46
United Arab Emirates,Dominican Republic,Mach and Elec,25.085
United Arab Emirates,Algeria,Mach and Elec,55206.61500000001
United Arab Emirates,Ecuador,Mach and Elec,1.107
United Arab Emirates,"Egypt, Arab Rep.",Mach and Elec,41836.169
United Arab Emirates,Eritrea,Mach and Elec,6646.115
United Arab Emirates,Spain,Mach and Elec,3445.695
United Arab Emirates,Estonia,Mach and Elec,175.017
United Arab Emirates,Ethiopia(excludes Eritrea),Mach and Elec,11907.405
United Arab Emirates,Finland,Mach and Elec,14891.407
United Arab Emirates,France,Mach and Elec,9064.733
United Arab Emirates,Gabon,Mach and Elec,1601.366
United Arab Emirates,United Kingdom,Mach and Elec,56001.53400000001
United Arab Emirates,Georgia,Mach and Elec,10419.021999999999
United Arab Emirates,Ghana,Mach and Elec,15692.245
United Arab Emirates,Gibraltar,Mach and Elec,13.1
United Arab Emirates,Guinea,Mach and Elec,9781.699
United Arab Emirates,"Gambia, The",Mach and Elec,5324.95
United Arab Emirates,Equatorial Guinea,Mach and Elec,3642.492
United Arab Emirates,Greece,Mach and Elec,13399.345
United Arab Emirates,Guatemala,Mach and Elec,243.389
United Arab Emirates,Guam,Mach and Elec,76.17500000000003
United Arab Emirates,Guyana,Mach and Elec,77.476
United Arab Emirates,"Hong Kong, China",Mach and Elec,64200.488
United Arab Emirates,Croatia,Mach and Elec,35.991
United Arab Emirates,Haiti,Mach and Elec,54.318999999999996
United Arab Emirates,Hungary,Mach and Elec,2288.061
United Arab Emirates,Indonesia,Mach and Elec,2750.46
United Arab Emirates,India,Mach and Elec,85190.588
United Arab Emirates,Ireland,Mach and Elec,1162.607
United Arab Emirates,"Iran, Islamic Rep.",Mach and Elec,1159388.148
United Arab Emirates,Iraq,Mach and Elec,377487.73299999995
United Arab Emirates,Iceland,Mach and Elec,0.987
United Arab Emirates,Italy,Mach and Elec,44998.59099999999
United Arab Emirates,Jordan,Mach and Elec,48273.44
United Arab Emirates,Japan,Mach and Elec,3984.5679999999998
United Arab Emirates,Kazakhstan,Mach and Elec,106789.75400000002
United Arab Emirates,Kenya,Mach and Elec,48627.741
United Arab Emirates,Kyrgyz Republic,Mach and Elec,8040.040999999998
United Arab Emirates,Cambodia,Mach and Elec,39.989000000000004
United Arab Emirates,Kiribati,Mach and Elec,6.1160000000000005
United Arab Emirates,"Korea, Rep.",Mach and Elec,2234.7200000000007
United Arab Emirates,Kuwait,Mach and Elec,82086.35800000001
United Arab Emirates,Lao PDR,Mach and Elec,14.027999999999999
