Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,United Arab Emirates,Export,Animal,0.0
Afghanistan,Saudi Arabia,Export,Animal,0.0
Afghanistan,Tajikistan,Export,Animal,0.0
Afghanistan,Syrian Arab Republic,Export,Animal,0.0
Afghanistan,Sweden,Export,Textiles and Clothing,0.0
Afghanistan,Sweden,Export,Animal,0.0
Afghanistan,Slovak Republic,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Minerals,0.0
Afghanistan,Romania,Export,Animal,0.0
Afghanistan,Poland,Export,Animal,0.0
Afghanistan,Pakistan,Export,Textiles and Clothing,0.0
Afghanistan,Japan,Import,Plastic or Rubber,50939.215
Afghanistan,Singapore,Import,Textiles and Clothing,47841.34
Afghanistan,India,Import,Plastic or Rubber,39898.878
Afghanistan,"Korea, Rep.",Import,Textiles and Clothing,31477.44100000001
Afghanistan,Japan,Import,Textiles and Clothing,31424.667
Afghanistan,Japan,Import,Mach and Elec,25745.239
Afghanistan,Japan,Import,Food Products,5732.721000000001
Afghanistan,Germany,Import,Chemicals,4334.0
Afghanistan,Singapore,Import,Mach and Elec,4311.076
Afghanistan,India,Import,Chemicals,4239.527
Afghanistan,Singapore,Import,Food Products,3166.397
Afghanistan,Malaysia,Import,Mach and Elec,2440.093
Afghanistan,Germany,Import,Mach and Elec,2249.0
Afghanistan,Thailand,Import,Textiles and Clothing,2008.383
Afghanistan,Germany,Import,Food Products,1917.0
Albania,Afghanistan,Export,Textiles and Clothing,0.0
Albania,Jordan,Export,Chemicals,0.0
Albania,Malaysia,Export,Minerals,0.0
Albania,Malaysia,Export,Textiles and Clothing,0.0
Albania,Namibia,Export,Mach and Elec,0.0
Albania,Niger,Export,Food Products,0.0
Albania,Nigeria,Export,Food Products,0.0
Albania,Nigeria,Export,Mach and Elec,0.0
Albania,Nigeria,Export,Minerals,0.0
Albania,Nigeria,Export,Textiles and Clothing,0.0
Albania,Nigeria,Export,Wood,0.0
Albania,Nicaragua,Export,Textiles and Clothing,0.0
Albania,Netherlands,Export,Chemicals,0.0
Albania,Netherlands,Export,Food Products,0.0
Albania,Netherlands,Export,Fuels,0.0
Albania,Germany,Import,Textiles and Clothing,9260.0
Albania,Germany,Import,Mach and Elec,6299.0
Albania,Romania,Import,Mach and Elec,6249.0
Albania,Switzerland,Import,Mach and Elec,5886.363
Albania,Greece,Import,Textiles and Clothing,5137.061
Albania,Turkey,Import,Textiles and Clothing,4238.288000000001
Albania,Greece,Import,Food Products,3746.1609999999996
Albania,Germany,Import,Chemicals,3191.0
Albania,Romania,Import,Textiles and Clothing,2074.0
Albania,Spain,Import,Food Products,1879.319
Albania,Romania,Import,Chemicals,1687.0
Albania,Switzerland,Import,Chemicals,1547.046
Albania,Romania,Import,Plastic or Rubber,1445.0
Albania,Japan,Import,Mach and Elec,1059.187
Albania,Greece,Import,Mach and Elec,885.275
Algeria,Afghanistan,Export,Animal,0.0
Algeria,Nigeria,Export,Chemicals,0.0
Algeria,Nigeria,Export,Fuels,0.0
Algeria,Nigeria,Export,Mach and Elec,0.0
Algeria,Nigeria,Export,Minerals,0.0
Algeria,Nigeria,Export,Plastic or Rubber,0.0
Algeria,Nigeria,Export,Textiles and Clothing,0.0
Algeria,Nigeria,Export,Wood,0.0
Algeria,Nicaragua,Export,Fuels,0.0
Algeria,Nicaragua,Export,Mach and Elec,0.0
Algeria,Netherlands,Export,Animal,0.0
Algeria,Netherlands,Export,Chemicals,0.0
Algeria,Netherlands,Export,Food Products,0.0
Algeria,Netherlands,Export,Fuels,0.0
Algeria,Netherlands,Export,Mach and Elec,0.0
Algeria,Germany,Import,Mach and Elec,485617.008
Algeria,Japan,Import,Mach and Elec,162872.024
Algeria,New Zealand,Import,Animal,74763.37599999999
Algeria,Spain,Import,Mach and Elec,69271.659
Algeria,Canada,Import,Wood,63854.20200000001
Algeria,Spain,Import,Food Products,53915.682
Algeria,Finland,Import,Wood,53655.811
Algeria,Switzerland,Import,Mach and Elec,51193.073
Algeria,Spain,Import,Chemicals,50637.33499999999
Algeria,Spain,Import,Fuels,46929.696
Algeria,Spain,Import,Textiles and Clothing,44362.593
Algeria,Germany,Import,Chemicals,43424.0
Algeria,Japan,Import,Plastic or Rubber,34094.06
Algeria,Germany,Import,Plastic or Rubber,29299.0
Algeria,Spain,Import,Plastic or Rubber,28877.891000000003
American Samoa,Netherlands Antilles,Import,Textiles and Clothing,0.0
American Samoa,Nepal,Import,Textiles and Clothing,0.0
American Samoa,New Zealand,Import,Wood,0.0
American Samoa,New Zealand,Import,Textiles and Clothing,0.0
American Samoa,New Zealand,Import,Plastic or Rubber,0.0
American Samoa,New Zealand,Import,Minerals,0.0
American Samoa,New Zealand,Import,Mach and Elec,0.0
American Samoa,New Zealand,Import,Fuels,0.0
American Samoa,New Zealand,Import,Food Products,0.0
American Samoa,New Zealand,Import,Chemicals,0.0
American Samoa,New Zealand,Import,Animal,0.0
American Samoa,Nepal,Import,Food Products,0.0
American Samoa,Niger,Import,Textiles and Clothing,0.0
American Samoa,Norway,Import,Mach and Elec,0.0
American Samoa,Netherlands,Import,Wood,0.0
Andorra,Aruba,Export,Mach and Elec,0.0
Andorra,Netherlands,Export,Plastic or Rubber,0.0
Andorra,Netherlands,Export,Mach and Elec,0.0
Andorra,Netherlands,Export,Fuels,0.0
Andorra,Netherlands,Export,Food Products,0.0
Andorra,Netherlands,Export,Chemicals,0.0
Andorra,Nicaragua,Export,Chemicals,0.0
Andorra,Nigeria,Export,Textiles and Clothing,0.0
Andorra,Nigeria,Export,Plastic or Rubber,0.0
Andorra,New Caledonia,Export,Plastic or Rubber,0.0
Andorra,New Caledonia,Export,Mach and Elec,0.0
Andorra,New Caledonia,Export,Chemicals,0.0
Andorra,Namibia,Export,Mach and Elec,0.0
Andorra,Malaysia,Export,Textiles and Clothing,0.0
Andorra,Malaysia,Export,Plastic or Rubber,0.0
Andorra,Spain,Import,Food Products,66307.788
Andorra,Spain,Import,Mach and Elec,48587.806
Andorra,Spain,Import,Animal,43632.231
Andorra,Spain,Import,Wood,28169.22700000001
Andorra,Spain,Import,Chemicals,26424.195
Andorra,Spain,Import,Textiles and Clothing,17142.006
Andorra,Spain,Import,Plastic or Rubber,14691.573999999999
Andorra,Japan,Import,Mach and Elec,13248.255
Andorra,Germany,Import,Mach and Elec,10587.0
Andorra,Spain,Import,Minerals,7694.217
Andorra,Germany,Import,Food Products,6599.0
Andorra,Spain,Import,Fuels,5795.993
Andorra,Germany,Import,Textiles and Clothing,2634.0
Andorra,Denmark,Import,Food Products,2107.08
Andorra,Switzerland,Import,Food Products,1819.328
Angola,United Arab Emirates,Export,Wood,0.0
Angola,Portugal,Export,Wood,0.0
Angola,Portugal,Export,Fuels,0.0
Angola,Portugal,Export,Animal,0.0
Angola,Poland,Export,Minerals,0.0
Angola,Peru,Export,Fuels,0.0
Angola,Peru,Export,Animal,0.0
Angola,Panama,Export,Fuels,0.0
Angola,Norway,Export,Fuels,0.0
Angola,Netherlands,Export,Fuels,0.0
Angola,Namibia,Export,Wood,0.0
Angola,Namibia,Export,Animal,0.0
Angola,Malaysia,Export,Fuels,0.0
Angola,Malaysia,Export,Animal,0.0
Angola,Marshall Islands,Export,Fuels,0.0
Angola,Portugal,Import,Food Products,84622.161
Angola,Portugal,Import,Mach and Elec,69430.832
Angola,Portugal,Import,Textiles and Clothing,60821.502
Angola,Portugal,Import,Chemicals,32482.248
Angola,Spain,Import,Mach and Elec,20994.151
Angola,Brazil,Import,Animal,19679.318
Angola,Brazil,Import,Food Products,19261.909
Angola,"Korea, Rep.",Import,Textiles and Clothing,14619.987
Angola,Denmark,Import,Animal,13927.166
Angola,Portugal,Import,Plastic or Rubber,13672.614
Angola,Germany,Import,Mach and Elec,13608.0
Angola,Brazil,Import,Mach and Elec,12143.846
Angola,Portugal,Import,Wood,10250.071
Angola,Germany,Import,Food Products,10097.0
Angola,Portugal,Import,Animal,9777.362
Anguila,Angola,Export,Mach and Elec,0.0
Anguila,Mexico,Export,Mach and Elec,0.0
Anguila,Panama,Export,Wood,0.0
Anguila,Panama,Export,Plastic or Rubber,0.0
Anguila,Panama,Export,Food Products,0.0
Anguila,Netherlands,Export,Plastic or Rubber,0.0
Anguila,Netherlands,Export,Minerals,0.0
Anguila,Netherlands,Export,Mach and Elec,0.0
Anguila,Netherlands,Export,Food Products,0.0
Anguila,Netherlands,Export,Animal,0.0
Anguila,Montserrat,Export,Wood,0.0
Anguila,Montserrat,Export,Plastic or Rubber,0.0
Anguila,Montserrat,Export,Mach and Elec,0.0
Anguila,Montserrat,Export,Chemicals,0.0
