Reporter Name,Partner Name,Trade Flow,Product Group,Value
Angola,Namibia,Export,0.0
Angola,Namibia,Export,0.0
Angola,Malaysia,Export,0.0
Angola,Malaysia,Export,0.0
Angola,Marshall Islands,Export,0.0
Angola,Angola,Import,527562.9639999999
Angola,Angola,Import,222234.51400000008
Angola,Angola,Import,189694.41199999998
Angola,Angola,Import,113085.59400000006
Angola,Angola,Import,96878.319
Angola,Angola,Import,80211.59599999999
Angola,Angola,Import,79393.30700000003
Angola,Angola,Import,77493.26699999999
Angola,Angola,Import,55287.075
Angola,Angola,Import,47082.45200000001
Angola,Angola,Import,42347.0
Angola,Angola,Import,33587.832
Angola,Angola,Import,32872.064
Angola,Angola,Import,32729.341
Angola,Angola,Import,31555.586
Anguila,Angola,Export,0.0
Anguila,Mexico,Export,0.0
Anguila,Panama,Export,0.0
Anguila,Panama,Export,0.0
Anguila,Panama,Export,0.0
Anguila,Netherlands,Export,0.0
Anguila,Netherlands,Export,0.0
Anguila,Netherlands,Export,0.0
Anguila,Netherlands,Export,0.0
Anguila,Netherlands,Export,0.0
Anguila,Montserrat,Export,0.0
Anguila,Montserrat,Export,0.0
Anguila,Montserrat,Export,0.0
Anguila,Montserrat,Export,0.0
Anguila,Mexico,Export,0.0
Anguila,Anguila,Import,7617.617999999998
Anguila,Anguila,Import,6978.8269999999975
Anguila,Anguila,Import,5319.075000000002
Anguila,Anguila,Import,4900.324000000001
Anguila,Anguila,Import,2564.55
Anguila,Anguila,Import,2429.445
Anguila,Anguila,Import,2086.05
Anguila,Anguila,Import,1851.9230000000007
Anguila,Anguila,Import,1519.698
Anguila,Anguila,Import,1343.5079999999996
Anguila,Anguila,Import,1034.3960000000004
Anguila,Anguila,Import,911.241
Anguila,Anguila,Import,893.059
Anguila,Anguila,Import,870.544
Anguila,Anguila,Import,743.6909999999997
Antigua and Barbuda,Aruba,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Malaysia,Export,0.0
Antigua and Barbuda,Malaysia,Export,0.0
Antigua and Barbuda,Malaysia,Export,0.0
Antigua and Barbuda,Mauritius,Export,0.0
Antigua and Barbuda,Mauritius,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Montserrat,Export,0.0
Antigua and Barbuda,Antigua and Barbuda,Import,40525.11299999998
Antigua and Barbuda,Antigua and Barbuda,Import,29148.076999999994
Antigua and Barbuda,Antigua and Barbuda,Import,19807.618000000002
Antigua and Barbuda,Antigua and Barbuda,Import,18744.283000000003
Antigua and Barbuda,Antigua and Barbuda,Import,16824.464
Antigua and Barbuda,Antigua and Barbuda,Import,16750.081000000002
Antigua and Barbuda,Antigua and Barbuda,Import,14316.958
Antigua and Barbuda,Antigua and Barbuda,Import,11034.61
Antigua and Barbuda,Antigua and Barbuda,Import,9573.28
