Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,United Arab Emirates,Export,Animal,0.0
Afghanistan,Saudi Arabia,Export,Animal,0.0
Afghanistan,Tajikistan,Export,Animal,0.0
Afghanistan,Syrian Arab Republic,Export,Animal,0.0
Afghanistan,Sweden,Export,Textiles and Clothing,0.0
Afghanistan,Sweden,Export,Animal,0.0
Afghanistan,Slovak Republic,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Minerals,0.0
Afghanistan,Romania,Export,Animal,0.0
Afghanistan,Poland,Export,Animal,0.0
Afghanistan,Pakistan,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Import,Textiles and Clothing,80908.45899999999
Afghanistan,United States,Import,Mach and Elec,65404.317
Afghanistan,"Korea, Rep.",Import,Food Products,42441.556
Afghanistan,"Iran, Islamic Rep.",Import,Textiles and Clothing,36128.733
Afghanistan,Japan,Import,Plastic or Rubber,34571.591
Afghanistan,"Iran, Islamic Rep.",Import,Chemicals,32237.182999999997
Afghanistan,United Arab Emirates,Import,Mach and Elec,28891.386
Afghanistan,United Arab Emirates,Import,Textiles and Clothing,22731.12200000001
Afghanistan,Japan,Import,Mach and Elec,20205.246
Afghanistan,United Arab Emirates,Import,Plastic or Rubber,14362.101999999999
Afghanistan,India,Import,Textiles and Clothing,13864.624
Afghanistan,India,Import,Plastic or Rubber,13096.885
Afghanistan,"Iran, Islamic Rep.",Import,Food Products,12556.809000000005
Afghanistan,United Arab Emirates,Import,Food Products,7923.2490000000025
Afghanistan,Germany,Import,Wood,7639.0
Albania,Italy,Export,Textiles and Clothing,80261.25
Albania,Greece,Export,Textiles and Clothing,29967.788
Albania,Germany,Export,Textiles and Clothing,12937.379
Albania,Italy,Export,Wood,8041.22
Albania,Greece,Export,Food Products,4529.986000000001
Albania,Italy,Export,Fuels,3486.536
Albania,"Macedonia, FYR",Export,Mach and Elec,3086.032
Albania,Greece,Export,Wood,2771.256
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Food Products,2162.887
Albania,Italy,Export,Mach and Elec,2135.503
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Fuels,1427.1529999999998
Albania,Italy,Export,Animal,1208.498
Albania,United Kingdom,Export,Mach and Elec,1056.54
Albania,Sweden,Export,Minerals,948.88
Albania,United States,Export,Mach and Elec,920.284
Albania,Italy,Import,Mach and Elec,116884.291
Albania,Italy,Import,Textiles and Clothing,84855.68199999999
Albania,Greece,Import,Food Products,49716.901
Albania,Italy,Import,Food Products,41892.38
Albania,Greece,Import,Mach and Elec,40123.894
Albania,Greece,Import,Fuels,39042.66
Albania,Greece,Import,Textiles and Clothing,35162.893
Albania,Italy,Import,Minerals,23008.121
Albania,Italy,Import,Chemicals,22440.605
Albania,Romania,Import,Fuels,16338.0
Albania,Greece,Import,Chemicals,16016.279000000002
Albania,Greece,Import,Wood,15719.31
Albania,Greece,Import,Plastic or Rubber,15638.563
Albania,Germany,Import,Mach and Elec,14562.0
Albania,Greece,Import,Minerals,13673.864
Algeria,Italy,Export,Fuels,3837077.925
Algeria,United States,Export,Fuels,2570438.637
Algeria,France,Export,Fuels,2396476.205
Algeria,Spain,Export,Fuels,2176795.522
Algeria,Netherlands,Export,Fuels,1669293.5359999996
Algeria,Turkey,Export,Fuels,950487.862
Algeria,Canada,Export,Fuels,927109.151
Algeria,Brazil,Export,Fuels,908079.999
Algeria,Belgium,Export,Fuels,461426.129
Algeria,Germany,Export,Fuels,423724.739
Algeria,United Kingdom,Export,Fuels,380707.615
Algeria,Portugal,Export,Fuels,326118.473
Algeria,"Egypt, Arab Rep.",Export,Fuels,145928.06
Algeria,Indonesia,Export,Fuels,132711.804
Algeria,Morocco,Export,Fuels,129259.174
Algeria,France,Import,Mach and Elec,940728.698
Algeria,Italy,Import,Mach and Elec,667590.789
Algeria,France,Import,Chemicals,544236.6340000001
Algeria,Germany,Import,Mach and Elec,321940.0
Algeria,United States,Import,Mach and Elec,198537.25199999998
Algeria,France,Import,Animal,158790.36400000006
Algeria,France,Import,Food Products,158577.0
Algeria,Spain,Import,Mach and Elec,138845.767
Algeria,Belgium,Import,Mach and Elec,121695.35699999999
Algeria,Turkey,Import,Mach and Elec,108300.592
Algeria,United Kingdom,Import,Mach and Elec,97422.016
Algeria,Spain,Import,Chemicals,95868.141
Algeria,France,Import,Plastic or Rubber,95580.101
Algeria,Turkey,Import,Textiles and Clothing,92516.665
Algeria,"Korea, Rep.",Import,Mach and Elec,91326.599
American Samoa,Australia,Import,Fuels,28518.107000000004
American Samoa,Thailand,Import,Food Products,19278.52
American Samoa,Vietnam,Import,Textiles and Clothing,11572.887
American Samoa,Samoa,Import,Animal,10284.29
American Samoa,New Zealand,Import,Animal,4105.793
American Samoa,New Zealand,Import,Food Products,3646.012000000001
American Samoa,Portugal,Import,Wood,3547.296
American Samoa,Australia,Import,Animal,2864.961
American Samoa,New Zealand,Import,Mach and Elec,2462.428
American Samoa,Chile,Import,Food Products,2312.526
American Samoa,Australia,Import,Food Products,1966.9820000000002
American Samoa,Germany,Import,Mach and Elec,1793.0
American Samoa,Samoa,Import,Food Products,1520.82
American Samoa,Australia,Import,Minerals,1415.34
American Samoa,New Zealand,Import,Fuels,1299.951
Andorra,Spain,Export,Mach and Elec,5631.951999999998
Andorra,Spain,Export,Wood,2584.379
Andorra,Spain,Export,Textiles and Clothing,2561.408
Andorra,Spain,Export,Chemicals,2387.054
Andorra,France,Export,Mach and Elec,1996.5620000000001
Andorra,Spain,Export,Food Products,1795.8960000000006
Andorra,France,Export,Wood,1216.93
Andorra,Norway,Export,Mach and Elec,783.2339999999998
Andorra,Spain,Export,Minerals,651.063
Andorra,France,Export,Chemicals,571.347
Andorra,United States,Export,Chemicals,538.56
Andorra,Germany,Export,Mach and Elec,486.566
Andorra,Spain,Export,Plastic or Rubber,486.304
Andorra,France,Export,Plastic or Rubber,444.26
Andorra,France,Export,Textiles and Clothing,420.411
Andorra,Spain,Import,Mach and Elec,154440.12
Andorra,Spain,Import,Food Products,72562.18500000001
Andorra,Spain,Import,Chemicals,66485.33600000001
Andorra,Spain,Import,Textiles and Clothing,46931.205
Andorra,France,Import,Mach and Elec,46865.32
Andorra,France,Import,Chemicals,46395.164
Andorra,Spain,Import,Fuels,41715.293
Andorra,Spain,Import,Animal,39844.14
Andorra,France,Import,Textiles and Clothing,33939.853
Andorra,France,Import,Food Products,31312.464
Andorra,Spain,Import,Wood,28036.691999999995
Andorra,France,Import,Fuels,22331.385
Andorra,Spain,Import,Plastic or Rubber,16684.693
Andorra,France,Import,Animal,14401.071000000002
Andorra,Germany,Import,Food Products,10692.0
Angola,United Arab Emirates,Export,Wood,0.0
Angola,Portugal,Export,Wood,0.0
Angola,Portugal,Export,Fuels,0.0
Angola,Portugal,Export,Animal,0.0
Angola,Poland,Export,Minerals,0.0
Angola,Peru,Export,Fuels,0.0
Angola,Peru,Export,Animal,0.0
Angola,Panama,Export,Fuels,0.0
Angola,Norway,Export,Fuels,0.0
Angola,Netherlands,Export,Fuels,0.0
Angola,Namibia,Export,Wood,0.0
Angola,Namibia,Export,Animal,0.0
Angola,Malaysia,Export,Fuels,0.0
Angola,Malaysia,Export,Animal,0.0
Angola,Marshall Islands,Export,Fuels,0.0
Angola,United States,Import,Mach and Elec,236627.65600000002
Angola,Portugal,Import,Mach and Elec,111856.117
Angola,Portugal,Import,Food Products,100239.743
Angola,Namibia,Import,Food Products,80875.96500000001
Angola,South Africa,Import,Food Products,74276.90599999999
Angola,Brazil,Import,Food Products,60996.137
Angola,South Africa,Import,Mach and Elec,58290.721
Angola,Norway,Import,Mach and Elec,57303.78599999999
Angola,France,Import,Mach and Elec,54638.915
Angola,Portugal,Import,Chemicals,47769.64800000001
Angola,United Kingdom,Import,Mach and Elec,44180.842
Angola,Italy,Import,Mach and Elec,36416.019
Angola,Brazil,Import,Animal,34665.149
Angola,Italy,Import,Food Products,32466.230000000003
Angola,Portugal,Import,Wood,30308.707
Anguila,Netherlands Antilles,Export,Food Products,324.018
Anguila,United States,Export,Chemicals,273.48800000000006
Anguila,United States,Export,Mach and Elec,270.353
Anguila,United States,Export,Food Products,238.834
Anguila,Guyana,Export,Food Products,96.358
Anguila,Barbados,Export,Mach and Elec,47.94
Anguila,Netherlands Antilles,Export,Mach and Elec,28.862
Anguila,Trinidad and Tobago,Export,Mach and Elec,28.608
Anguila,United States,Export,Wood,22.486
Anguila,Canada,Export,Mach and Elec,22.24
Anguila,Netherlands Antilles,Export,Minerals,11.01
Anguila,United States,Export,Textiles and Clothing,9.756
Anguila,Antigua and Barbuda,Export,Mach and Elec,9.525
