Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,Pakistan,Export,Textiles and Clothing,136330.18300000002
Afghanistan,Russian Federation,Export,Textiles and Clothing,4418.906
Afghanistan,United Arab Emirates,Export,Textiles and Clothing,3826.477
Afghanistan,United Arab Emirates,Export,Animal,3684.669
Afghanistan,United States,Export,Textiles and Clothing,1441.767
Afghanistan,Uzbekistan,Export,Food Products,1284.869
Afghanistan,Brazil,Export,Textiles and Clothing,1207.107
Afghanistan,Turkmenistan,Export,Textiles and Clothing,926.545
Afghanistan,Germany,Export,Textiles and Clothing,557.568
Afghanistan,Turkey,Export,Textiles and Clothing,369.467
Afghanistan,Kazakhstan,Export,Textiles and Clothing,239.781
Afghanistan,India,Export,Textiles and Clothing,206.451
Afghanistan,Iraq,Export,Animal,176.172
Afghanistan,Tajikistan,Export,Food Products,155.56799999999996
Afghanistan,United Kingdom,Export,Textiles and Clothing,39.105
Afghanistan,Pakistan,Import,Fuels,467059.5770000001
Afghanistan,United Arab Emirates,Import,Mach and Elec,243817.987
Afghanistan,India,Import,Textiles and Clothing,153583.98899999994
Afghanistan,Pakistan,Import,Minerals,151541.622
Afghanistan,United States,Import,Mach and Elec,123462.497
Afghanistan,Pakistan,Import,Food Products,113216.20500000002
Afghanistan,Germany,Import,Mach and Elec,92306.0
Afghanistan,Azerbaijan,Import,Fuels,80872.17599999999
Afghanistan,China,Import,Mach and Elec,80226.0
Afghanistan,India,Import,Chemicals,60079.75900000001
Afghanistan,Kazakhstan,Import,Fuels,59403.974
Afghanistan,India,Import,Mach and Elec,58928.477999999996
Afghanistan,Japan,Import,Plastic or Rubber,52212.026
Afghanistan,Pakistan,Import,Plastic or Rubber,50035.041
Afghanistan,Russian Federation,Import,Fuels,46744.252
Albania,Italy,Export,Textiles and Clothing,286109.443
Albania,Italy,Export,Fuels,69085.289
Albania,Greece,Export,Textiles and Clothing,45441.0
Albania,Italy,Export,Mach and Elec,34612.523
Albania,China,Export,Minerals,33939.94
Albania,Italy,Export,Wood,30708.07
Albania,Italy,Export,Food Products,20827.181
Albania,Germany,Export,Textiles and Clothing,19675.863999999998
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Fuels,18034.728
Albania,"Macedonia, FYR",Export,Minerals,15215.488
Albania,Russian Federation,Export,Minerals,14675.694
Albania,Greece,Export,Minerals,11280.596000000001
Albania,Greece,Export,Wood,10188.136
Albania,Ireland,Export,Fuels,9946.169
Albania,Italy,Export,Animal,9008.708
Albania,Italy,Import,Mach and Elec,314351.195
Albania,Greece,Import,Fuels,296012.385
Albania,Italy,Import,Textiles and Clothing,239307.173
Albania,Russian Federation,Import,Fuels,127351.932
Albania,Greece,Import,Food Products,77659.782
Albania,China,Import,Mach and Elec,75155.555
Albania,Germany,Import,Mach and Elec,74536.0
Albania,Italy,Import,Food Products,74480.041
Albania,Greece,Import,Mach and Elec,71314.24799999999
Albania,Italy,Import,Chemicals,69433.97099999999
Albania,Italy,Import,Plastic or Rubber,50934.20200000001
Albania,Italy,Import,Wood,46202.843
Albania,Greece,Import,Wood,44512.777
