Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,United Arab Emirates,Export,Animal,0.0
Afghanistan,Saudi Arabia,Export,Animal,0.0
Afghanistan,Tajikistan,Export,Animal,0.0
Afghanistan,Syrian Arab Republic,Export,Animal,0.0
Afghanistan,Sweden,Export,Textiles and Clothing,0.0
Afghanistan,Sweden,Export,Animal,0.0
Afghanistan,Slovak Republic,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Minerals,0.0
Afghanistan,Romania,Export,Animal,0.0
Afghanistan,Poland,Export,Animal,0.0
Afghanistan,Pakistan,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Import,Textiles and Clothing,75590.192
Afghanistan,Turkmenistan,Import,Fuels,28593.224
Afghanistan,Japan,Import,Plastic or Rubber,24435.759
Afghanistan,United Arab Emirates,Import,Textiles and Clothing,18528.447000000004
Afghanistan,Japan,Import,Mach and Elec,16539.601000000002
Afghanistan,United Arab Emirates,Import,Plastic or Rubber,13135.72
Afghanistan,Bulgaria,Import,Food Products,8297.661
Afghanistan,India,Import,Plastic or Rubber,7419.295999999998
Afghanistan,United Arab Emirates,Import,Food Products,7406.510999999998
Afghanistan,"Iran, Islamic Rep.",Import,Textiles and Clothing,6334.281
Afghanistan,India,Import,Textiles and Clothing,6275.248000000001
Afghanistan,"Korea, Rep.",Import,Food Products,5843.6590000000015
Afghanistan,"Iran, Islamic Rep.",Import,Chemicals,5302.8290000000015
Afghanistan,"Iran, Islamic Rep.",Import,Minerals,5257.852
Afghanistan,Japan,Import,Textiles and Clothing,5016.1370000000015
Albania,Italy,Export,Textiles and Clothing,61287.93500000001
Albania,Greece,Export,Textiles and Clothing,20008.947
Albania,Germany,Export,Textiles and Clothing,11774.326000000001
Albania,Italy,Export,Wood,7174.8319999999985
Albania,Greece,Export,Food Products,7015.878000000002
Albania,Italy,Export,Food Products,4046.621
Albania,Italy,Export,Fuels,2889.893
Albania,Italy,Export,Mach and Elec,2684.918
Albania,Denmark,Export,Textiles and Clothing,2566.18
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Food Products,2189.15
Albania,Belarus,Export,Textiles and Clothing,1216.7230000000004
Albania,Croatia,Export,Minerals,1154.336
Albania,Greece,Export,Wood,1102.86
Albania,Greece,Export,Mach and Elec,893.4069999999997
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Fuels,799.827
Albania,Italy,Import,Mach and Elec,80355.82
Albania,Italy,Import,Textiles and Clothing,55324.82
Albania,Greece,Import,Fuels,42179.482
Albania,Greece,Import,Food Products,32209.528
Albania,Greece,Import,Textiles and Clothing,24089.32
Albania,Greece,Import,Chemicals,20078.815000000006
Albania,Italy,Import,Food Products,19628.738999999998
Albania,Greece,Import,Mach and Elec,18450.971
Albania,Italy,Import,Minerals,17816.171000000002
Albania,Greece,Import,Minerals,13645.928
Albania,Italy,Import,Chemicals,12138.533
Albania,Czech Republic,Import,Food Products,11750.73
Albania,Germany,Import,Mach and Elec,11403.0
Albania,Greece,Import,Plastic or Rubber,11257.536
Albania,Greece,Import,Wood,9924.049
Algeria,Italy,Export,Fuels,4326018.392
Algeria,United States,Export,Fuels,3408573.334
Algeria,France,Export,Fuels,2826140.023
Algeria,Spain,Export,Fuels,2289058.499
Algeria,Netherlands,Export,Fuels,1649128.355
Algeria,Brazil,Export,Fuels,1501588.2869999998
Algeria,Turkey,Export,Fuels,1327365.787
Algeria,Canada,Export,Fuels,776708.051
Algeria,Germany,Export,Fuels,726762.432
Algeria,Belgium,Export,Fuels,650856.462
Algeria,United Kingdom,Export,Fuels,639157.209
Algeria,Portugal,Export,Fuels,239199.792
Algeria,Morocco,Export,Fuels,158113.473
Algeria,Mexico,Export,Fuels,122401.999
Algeria,Greece,Export,Fuels,103880.076
Algeria,France,Import,Mach and Elec,637037.198
Algeria,France,Import,Chemicals,440006.5359999999
Algeria,Italy,Import,Mach and Elec,430195.455
Algeria,United States,Import,Mach and Elec,262800.146
Algeria,France,Import,Animal,179682.22600000005
Algeria,Germany,Import,Mach and Elec,171870.0
Algeria,France,Import,Food Products,143019.966
Algeria,Spain,Import,Mach and Elec,99918.395
Algeria,Turkey,Import,Textiles and Clothing,95805.049
Algeria,Belgium,Import,Animal,86012.521
Algeria,Spain,Import,Chemicals,71734.09499999999
Algeria,Belgium,Import,Mach and Elec,66700.293
Algeria,France,Import,Plastic or Rubber,66680.438
Algeria,Finland,Import,Wood,66121.015
Algeria,Turkey,Import,Mach and Elec,60266.008
American Samoa,Australia,Import,Fuels,51551.112
American Samoa,New Zealand,Import,Animal,4339.279
American Samoa,New Zealand,Import,Wood,2926.5290000000005
American Samoa,New Zealand,Import,Food Products,2603.9
American Samoa,Ecuador,Import,Food Products,2454.36
American Samoa,Australia,Import,Animal,2423.185
American Samoa,Chile,Import,Food Products,2343.134
American Samoa,Australia,Import,Food Products,1896.166
American Samoa,Indonesia,Import,Textiles and Clothing,1785.17
American Samoa,Japan,Import,Animal,1300.972
American Samoa,New Zealand,Import,Mach and Elec,1232.879
American Samoa,Singapore,Import,Textiles and Clothing,1231.556
American Samoa,New Zealand,Import,Textiles and Clothing,1144.742
American Samoa,"Korea, Rep.",Import,Food Products,1020.257
American Samoa,Philippines,Import,Animal,890.375
Andorra,Spain,Export,Mach and Elec,4047.655
Andorra,Spain,Export,Wood,2447.385
Andorra,France,Export,Wood,2333.742
Andorra,Spain,Export,Food Products,2281.451
Andorra,Spain,Export,Chemicals,2096.389
Andorra,France,Export,Mach and Elec,1819.108
Andorra,Spain,Export,Textiles and Clothing,1757.0970000000002
Andorra,Spain,Export,Plastic or Rubber,1061.159
Andorra,France,Export,Chemicals,932.707
Andorra,Greece,Export,Plastic or Rubber,691.2489999999998
Andorra,France,Export,Plastic or Rubber,639.1439999999999
Andorra,Spain,Export,Animal,522.755
Andorra,Spain,Export,Minerals,479.595
Andorra,Germany,Export,Mach and Elec,263.71
Andorra,Malaysia,Export,Food Products,245.639
Andorra,Spain,Import,Mach and Elec,96390.342
Andorra,Spain,Import,Food Products,52570.73900000001
Andorra,France,Import,Chemicals,50028.376
Andorra,France,Import,Mach and Elec,42718.819
Andorra,Spain,Import,Chemicals,41440.712000000014
Andorra,Spain,Import,Fuels,38736.134
Andorra,France,Import,Textiles and Clothing,32034.268
Andorra,Spain,Import,Textiles and Clothing,30533.097
Andorra,Spain,Import,Animal,29994.836
Andorra,France,Import,Food Products,28074.982000000004
Andorra,Spain,Import,Wood,22193.442000000006
Andorra,France,Import,Fuels,17055.026
Andorra,Spain,Import,Plastic or Rubber,16540.300000000007
Andorra,France,Import,Animal,13679.752
Andorra,Italy,Import,Textiles and Clothing,8498.877
Angola,United Arab Emirates,Export,Wood,0.0
Angola,Portugal,Export,Wood,0.0
Angola,Portugal,Export,Fuels,0.0
Angola,Portugal,Export,Animal,0.0
Angola,Poland,Export,Minerals,0.0
Angola,Peru,Export,Fuels,0.0
Angola,Peru,Export,Animal,0.0
Angola,Panama,Export,Fuels,0.0
Angola,Norway,Export,Fuels,0.0
Angola,Netherlands,Export,Fuels,0.0
Angola,Namibia,Export,Wood,0.0
Angola,Namibia,Export,Animal,0.0
Angola,Malaysia,Export,Fuels,0.0
Angola,Malaysia,Export,Animal,0.0
Angola,Marshall Islands,Export,Fuels,0.0
Angola,United States,Import,Mach and Elec,109872.056
Angola,Portugal,Import,Mach and Elec,71929.655
Angola,Norway,Import,Mach and Elec,67015.12400000001
Angola,Portugal,Import,Food Products,52522.421
Angola,Namibia,Import,Food Products,48857.0
Angola,South Africa,Import,Food Products,47596.43
Angola,Portugal,Import,Chemicals,35273.814
Angola,France,Import,Mach and Elec,34171.713
Angola,South Africa,Import,Mach and Elec,31424.669
Angola,United Kingdom,Import,Mach and Elec,27231.699
Angola,Portugal,Import,Wood,24826.272999999997
Angola,Italy,Import,Food Products,23884.137
Angola,Spain,Import,Fuels,22547.937
Angola,Brazil,Import,Animal,22003.894
Angola,Brazil,Import,Food Products,21624.629
Anguila,United States,Export,Mach and Elec,1348.4070000000004
Anguila,United States,Export,Food Products,299.099
Anguila,Canada,Export,Mach and Elec,296.666
Anguila,Guyana,Export,Food Products,216.843
Anguila,Australia,Export,Food Products,112.061
Anguila,Trinidad and Tobago,Export,Mach and Elec,33.659
Anguila,Netherlands Antilles,Export,Textiles and Clothing,28.81
Anguila,United Kingdom,Export,Mach and Elec,14.056
Anguila,United States,Export,Textiles and Clothing,13.904000000000002
Anguila,United States,Export,Chemicals,13.677
Anguila,France,Export,Textiles and Clothing,12.468
Anguila,United States,Export,Plastic or Rubber,9.038
