Reporter Name,Partner Name,Trade Flow,Product Group,Value
Afghanistan,United Arab Emirates,Export,Animal,0.0
Afghanistan,Saudi Arabia,Export,Animal,0.0
Afghanistan,Tajikistan,Export,Animal,0.0
Afghanistan,Syrian Arab Republic,Export,Animal,0.0
Afghanistan,Sweden,Export,Textiles and Clothing,0.0
Afghanistan,Sweden,Export,Animal,0.0
Afghanistan,Slovak Republic,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Textiles and Clothing,0.0
Afghanistan,Saudi Arabia,Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Textiles and Clothing,0.0
Afghanistan,"Korea, Rep.",Export,Minerals,0.0
Afghanistan,Russian Federation,Export,Minerals,0.0
Afghanistan,Romania,Export,Animal,0.0
Afghanistan,Poland,Export,Animal,0.0
Afghanistan,Pakistan,Export,Textiles and Clothing,0.0
Afghanistan,Pakistan,Import,Fuels,278531.987
Afghanistan,United Arab Emirates,Import,Mach and Elec,112722.04199999999
Afghanistan,"Iran, Islamic Rep.",Import,Textiles and Clothing,96351.165
Afghanistan,Pakistan,Import,Minerals,85094.64199999999
Afghanistan,Kazakhstan,Import,Fuels,84018.32199999999
Afghanistan,"Iran, Islamic Rep.",Import,Chemicals,82679.83499999999
Afghanistan,"Iran, Islamic Rep.",Import,Food Products,80979.864
Afghanistan,Germany,Import,Mach and Elec,79616.0
Afghanistan,Pakistan,Import,Plastic or Rubber,73292.77500000001
Afghanistan,Kyrgyz Republic,Import,Fuels,72471.277
Afghanistan,United States,Import,Mach and Elec,70647.466
Afghanistan,Pakistan,Import,Food Products,62505.54300000001
Afghanistan,India,Import,Textiles and Clothing,54813.623
Afghanistan,China,Import,Mach and Elec,51926.432
Afghanistan,"Iran, Islamic Rep.",Import,Plastic or Rubber,47380.926
Albania,Italy,Export,Textiles and Clothing,174630.806
Albania,Greece,Export,Textiles and Clothing,37500.453
Albania,Italy,Export,Food Products,19976.99
Albania,Italy,Export,Mach and Elec,19543.874
Albania,Italy,Export,Fuels,17983.107
Albania,Italy,Export,Wood,16109.513
Albania,Germany,Export,Textiles and Clothing,12860.801
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Fuels,12455.558
Albania,China,Export,Minerals,9012.778
Albania,Greece,Export,Wood,6810.5509999999995
Albania,Greece,Export,Food Products,6508.183000000001
Albania,Sweden,Export,Minerals,5865.272
Albania,"Serbia, FR(Serbia/Montenegro)",Export,Food Products,5309.379
Albania,"Macedonia, FYR",Export,Minerals,5220.831
Albania,Italy,Export,Animal,3300.77
Albania,Italy,Import,Textiles and Clothing,166649.341
Albania,Italy,Import,Mach and Elec,155968.549
Albania,Greece,Import,Fuels,105590.639
Albania,Greece,Import,Food Products,49682.85000000001
Albania,Greece,Import,Mach and Elec,46882.801
Albania,Italy,Import,Chemicals,46098.187999999995
Albania,Italy,Import,Food Products,42064.053
Albania,Greece,Import,Textiles and Clothing,41153.59600000001
Albania,Italy,Import,Wood,34225.658
Albania,Italy,Import,Minerals,29894.992
Albania,Greece,Import,Wood,29575.276
Albania,Turkey,Import,Textiles and Clothing,28975.037
Albania,Germany,Import,Mach and Elec,28359.0
Albania,Italy,Import,Plastic or Rubber,27491.599
Albania,Brazil,Import,Animal,24782.915
Algeria,United States,Export,Fuels,14833214.611
Algeria,Italy,Export,Fuels,9212445.858
Algeria,Spain,Export,Fuels,5808099.964
Algeria,France,Export,Fuels,4355749.577
Algeria,Canada,Export,Fuels,3578074.6560000004
Algeria,Netherlands,Export,Fuels,2793981.005
Algeria,Belgium,Export,Fuels,1974389.301
Algeria,Brazil,Export,Fuels,1883010.099
Algeria,Turkey,Export,Fuels,1750062.501
Algeria,United Kingdom,Export,Fuels,1607635.4030000004
Algeria,Portugal,Export,Fuels,1589019.727
Algeria,India,Export,Fuels,637488.056
Algeria,"Korea, Rep.",Export,Fuels,620096.1429999999
Algeria,"Egypt, Arab Rep.",Export,Fuels,447511.828
Algeria,Germany,Export,Fuels,392844.933
Algeria,France,Import,Mach and Elec,1428728.176
Algeria,France,Import,Chemicals,804857.8200000002
Algeria,Italy,Import,Mach and Elec,764567.1690000001
Algeria,China,Import,Mach and Elec,552422.8979999999
Algeria,United States,Import,Mach and Elec,535374.5430000001
Algeria,Germany,Import,Mach and Elec,518971.0
Algeria,China,Import,Textiles and Clothing,292640.065
Algeria,Brazil,Import,Food Products,252865.062
Algeria,France,Import,Food Products,214046.86
Algeria,Spain,Import,Mach and Elec,212410.50699999998
Algeria,Turkey,Import,Textiles and Clothing,207915.236
Algeria,Belgium,Import,Mach and Elec,165751.109
Algeria,Syrian Arab Republic,Import,Textiles and Clothing,160286.575
Algeria,United Arab Emirates,Import,Textiles and Clothing,155028.068
Algeria,Turkey,Import,Mach and Elec,142274.6
American Samoa,Fiji,Import,Animal,11617.808
American Samoa,Thailand,Import,Food Products,10198.235
American Samoa,Samoa,Import,Animal,7008.978
American Samoa,New Zealand,Import,Animal,5220.146
American Samoa,New Zealand,Import,Food Products,4406.621
American Samoa,Fiji,Import,Wood,3643.679
American Samoa,Australia,Import,Animal,3422.485
American Samoa,New Zealand,Import,Wood,2958.047
American Samoa,Thailand,Import,Animal,2293.758
American Samoa,New Zealand,Import,Mach and Elec,2193.279
American Samoa,Canada,Import,Wood,1694.779
American Samoa,Samoa,Import,Food Products,1672.2220000000002
American Samoa,Australia,Import,Food Products,1637.4679999999996
American Samoa,Fiji,Import,Food Products,1325.755
American Samoa,"Korea, Rep.",Import,Food Products,939.343
Andorra,Spain,Export,Food Products,47004.09099999999
Andorra,Spain,Export,Mach and Elec,17582.074
Andorra,Germany,Export,Mach and Elec,8689.46
Andorra,Spain,Export,Textiles and Clothing,6419.2609999999995
Andorra,Spain,Export,Wood,5611.089
Andorra,France,Export,Mach and Elec,4385.319
Andorra,Spain,Export,Chemicals,3188.838
Andorra,United Kingdom,Export,Food Products,2388.333
Andorra,France,Export,Wood,2383.32
Andorra,France,Export,Chemicals,1742.727
Andorra,Norway,Export,Mach and Elec,1411.457
Andorra,Belgium,Export,Mach and Elec,943.78
Andorra,France,Export,Textiles and Clothing,903.43
Andorra,Italy,Export,Wood,743.294
Andorra,Spain,Export,Plastic or Rubber,635.6569999999998
Andorra,Spain,Import,Mach and Elec,224854.031
Andorra,Spain,Import,Chemicals,133819.59399999998
Andorra,Spain,Import,Food Products,119552.25699999998
Andorra,Spain,Import,Textiles and Clothing,80645.325
Andorra,Spain,Import,Fuels,72598.67
Andorra,Spain,Import,Animal,58810.70200000001
Andorra,France,Import,Fuels,58163.693
Andorra,France,Import,Food Products,57566.152
Andorra,France,Import,Mach and Elec,53526.465
Andorra,France,Import,Textiles and Clothing,45886.462
Andorra,Spain,Import,Wood,43053.533
Andorra,France,Import,Chemicals,42013.736
Andorra,Spain,Import,Plastic or Rubber,25139.429
Andorra,France,Import,Animal,16574.261000000002
Andorra,Italy,Import,Textiles and Clothing,14046.086000000001
Angola,United Arab Emirates,Export,Wood,0.0
Angola,Portugal,Export,Wood,0.0
Angola,Portugal,Export,Fuels,0.0
Angola,Portugal,Export,Animal,0.0
Angola,Poland,Export,Minerals,0.0
Angola,Peru,Export,Fuels,0.0
Angola,Peru,Export,Animal,0.0
Angola,Panama,Export,Fuels,0.0
Angola,Norway,Export,Fuels,0.0
Angola,Netherlands,Export,Fuels,0.0
Angola,Namibia,Export,Wood,0.0
Angola,Namibia,Export,Animal,0.0
Angola,Malaysia,Export,Fuels,0.0
Angola,Malaysia,Export,Animal,0.0
Angola,Marshall Islands,Export,Fuels,0.0
Angola,United States,Import,Mach and Elec,522841.047
Angola,Portugal,Import,Mach and Elec,396560.50899999996
Angola,China,Import,Mach and Elec,316819.488
Angola,Portugal,Import,Food Products,261301.31399999998
Angola,United Kingdom,Import,Mach and Elec,182293.669
Angola,Brazil,Import,Mach and Elec,164680.934
Angola,France,Import,Mach and Elec,162575.387
Angola,Norway,Import,Mach and Elec,146696.62099999998
Angola,Brazil,Import,Food Products,140391.12799999994
Angola,South Africa,Import,Mach and Elec,128324.755
Angola,Portugal,Import,Chemicals,104745.287
Angola,Spain,Import,Mach and Elec,94710.37
Angola,South Africa,Import,Chemicals,91334.173
Angola,Brazil,Import,Animal,88816.168
Angola,South Africa,Import,Food Products,78093.73000000001
Anguila,Netherlands Antilles,Export,Food Products,5154.251
Anguila,Guyana,Export,Food Products,3667.903
Anguila,United Kingdom,Export,Food Products,750.8679999999997
Anguila,Netherlands Antilles,Export,Mach and Elec,435.535
Anguila,United States,Export,Mach and Elec,294.772
Anguila,United States,Export,Food Products,214.854
Anguila,United Kingdom,Export,Mach and Elec,135.787
Anguila,United States,Export,Textiles and Clothing,38.429
Anguila,France,Export,Mach and Elec,31.785
Anguila,St. Kitts and Nevis,Export,Mach and Elec,21.921
Anguila,Jamaica,Export,Food Products,18.686
Anguila,St. Lucia,Export,Mach and Elec,14.934
