Reporter Name,Trade Flow,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Armenia,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387900.275,0.0,428989.51,557899.788,637434.883,1017666.518,1315593.901,1408024.861,1847607.041,1973045.231,2202865.463,2083424.551,1346126.957,1978249.673,2499925.638,2759912.882,2805177.892,2879972.698,2880777.994,31010595.756
Aruba,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1662560.476,1662169.203,1675107.794,1678905.877,1733764.504,2036260.248,2053648.776,2201209.933,2200355.651,2278036.5,2120263.607,2509512.759,2458635.512,2548544.89,2522464.577,2292100.785,33633541.092
Aruba,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345959.713,297437.418,256285.206,164351.785,157970.588,212178.484,217712.784,193835.475,200024.34,270423.385,248482.693,277142.832,336315.14,301632.37,205809.007,145859.384,3831420.604
Australia,Import,76378358.305,74365898.633,73906837.604,77988373.893,81434602.098,96186473.596,110586079.303,118348523.83,118801193.62,116367187.738,125207527.816,136931660.485,123459712.241,140341265.859,171466506.389,210948839.987,241843016.643,268085066.356,319861419.274,389401847.624,321717725.598,390565824.768,454449337.075,483592543.232,448831283.616,437491255.64,383907114.359,5992465475.58
Australia,Export,66574264.773,72356085.656,75473843.766,78056527.278,77434786.001,87457152.743,97512284.499,110127496.092,115638627.142,103562510.295,101103397.173,115810512.534,115441432.75,118828114.763,130151968.725,159915821.016,196059180.282,228573851.62,262050533.601,346747987.178,286285271.544,392762264.197,499867441.006,478048954.082,474747151.922,451674417.763,353415201.697,5595677080.1
Austria,Import,0.0,0.0,0.0,0.0,0.0,109392183.39,131707910.283,133503713.326,126275955.293,133153514.87,130847414.844,135590356.153,139596063.282,144352594.995,181824133.167,220579561.728,237585122.188,266284237.98,309496728.701,347196331.665,270810731.903,298730253.126,362356428.443,336927273.899,344180002.35,342345927.131,293642422.447,4996378861.16
Austria,Export,0.0,0.0,0.0,0.0,0.0,89051464.881,114024438.745,114489659.142,112055643.182,120527828.574,117373565.972,125877011.821,131501288.333,144430781.803,176380856.631,219182024.433,232580501.34,265209974.452,309557032.071,340400979.389,259351696.551,285950490.475,334641865.011,313723466.04,328723173.292,335527196.84,287059816.535,4757620755.51
Azerbaijan,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1848008.919,1536017.113,2100418.833,2007680.238,2280547.873,2796719.653,3262985.486,5183995.069,6960122.938,8299130.701,10395097.208,11220714.067,14055710.703,12017738.495,12894087.916,19064308.83,18803715.849,21060376.27,18003109.51,18157852.053,191948337.724
Azerbaijan,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1036339.478,1325792.967,1167691.6,1832578.166,3472902.359,4611593.315,4302192.524,5126104.863,7054875.468,8475807.145,12329401.056,11511226.074,93930719.748,28437229.268,41810338.657,52210187.411,46890520.426,47172523.921,42914390.104,22513130.592,438125545.142
Bahamas The,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas The,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9084124.035,8429361.513,9833423.195,11131726.27,12985315.941,18398959.123,17720064.741,22775084.694,36335124.103,23662142.962,31493439.741,34875144.933,27930109.488,36778966.962,39684004.444,32327403.29,373444395.435
Bahrain,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12120887.321,10835230.167,11315042.159,12942891.775,14746223.335,20160944.313,23070622.201,27157544.379,25953408.07,16647201.534,31907278.608,44896699.754,33015926.231,39816831.696,35642736.791,27233288.126,387462756.46
Bangladesh,Import,5514747.818,6321038.3,5625703.918,6191675.532,6238456.845,0.0,9542107.366,11238837.528,12882176.535,12757813.591,0.0,13714657.319,14493417.858,17174533.799,18676748.216,21131492.851,23804722.424,29956704.573,33754290.659,45967524.696,43378243.949,57058475.781,79565214.119,0.0,0.0,0.0,0.0,474988583.677
Bangladesh,Export,2603845.625,3020227.434,3302101.2,3756802.56,4395622.51,0.0,6610524.755,6921609.165,7876762.746,9992967.099,0.0,10836371.647,10595077.997,10658982.594,12652389.557,16322715.668,18418594.311,23132649.715,25925030.549,29229937.71,30752861.607,37916444.568,48040372.046,0.0,0.0,0.0,0.0,322961891.063
Barbados,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957368.066,2007527.539,2101530.27,2287128.74,2118711.437,1977025.282,2373343.915,2140686.156,3309591.904,3228235.862,2570954.001,3462129.605,2663025.703,2370521.952,3525861.95,3510979.596,3511755.132,3447050.988,3204189.16,51767617.258
Barbados,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518252.098,478832.624,474602.261,497894.43,470630.444,428092.103,442903.453,386147.807,622922.657,763121.885,624505.388,814100.491,641046.753,620741.137,871749.504,1109511.585,918626.205,943269.661,952304.938,12579255.424
Belarus,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17013648.503,13286449.5,17225223.8,16523869.0,18140996.8,23066811.1,32588891.9,33288519.8,44486924.5,57141564.4,78419269.4,56886167.8,69447089.4,91111197.1,92432994.0,85580093.0,80704391.8,60022740.7,887366842.503
Belarus,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14011819.396,11717678.074,14547556.7,14804649.4,15968316.5,19808006.2,27355762.1,31800567.0,39347308.4,48323556.8,64864176.9,42393769.2,50280419.3,82512553.7,91777265.6,74100360.7,71693876.9,52940061.1,768247703.97
Belgium,Import,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326248817.691,350336369.816,354203775.829,392699819.044,466480464.533,568522919.6,633154720.032,700643630.901,819027888.007,924924955.552,704197544.306,776972184.457,926147663.323,870218587.497,969939250.351,898785957.059,736587948.654,11419092496.7
Belgium,Export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354726676.329,372059170.518,376240615.338,426612200.787,505404629.467,608536764.291,663318935.466,724624962.289,852664717.885,930796698.671,731889225.42,802309678.481,935977045.43,878784579.978,1006649302.97,929675185.003,784047782.941,11884318171.3
